"Row ID","Geography ID","Name","Variable Code","Variable","Value","Variable Unit","Date","Location"
"19001_2010_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$269,269","Thousands of dollars","12/31/2010","POINT (-94.478164 41.328528)"
"19001_2010_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$35,015","Dollars","12/31/2010","POINT (-94.478164 41.328528)"
"19001_2011_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$305,853","Thousands of dollars","12/31/2011","POINT (-94.478164 41.328528)"
"19001_2011_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$40,249","Dollars","12/31/2011","POINT (-94.478164 41.328528)"
"19001_2012_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$308,847","Thousands of dollars","12/31/2012","POINT (-94.478164 41.328528)"
"19001_2012_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$40,842","Dollars","12/31/2012","POINT (-94.478164 41.328528)"
"19001_2013_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$323,696","Thousands of dollars","12/31/2013","POINT (-94.478164 41.328528)"
"19001_2013_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$43,033","Dollars","12/31/2013","POINT (-94.478164 41.328528)"
"19001_2014_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$326,700","Thousands of dollars","12/31/2014","POINT (-94.478164 41.328528)"
"19001_2014_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$43,300","Dollars","12/31/2014","POINT (-94.478164 41.328528)"
"19001_2015_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$333,921","Thousands of dollars","12/31/2015","POINT (-94.478164 41.328528)"
"19001_2015_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$45,382","Dollars","12/31/2015","POINT (-94.478164 41.328528)"
"19001_2016_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$321,714","Thousands of dollars","12/31/2016","POINT (-94.478164 41.328528)"
"19001_2016_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$44,319","Dollars","12/31/2016","POINT (-94.478164 41.328528)"
"19001_2017_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$341,340","Thousands of dollars","12/31/2017","POINT (-94.478164 41.328528)"
"19001_2017_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$46,485","Dollars","12/31/2017","POINT (-94.478164 41.328528)"
"19001_2018_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$364,228","Thousands of dollars","12/31/2018","POINT (-94.478164 41.328528)"
"19001_2018_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$49,454","Dollars","12/31/2018","POINT (-94.478164 41.328528)"
"19001_2019_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$369,640","Thousands of dollars","12/31/2019","POINT (-94.478164 41.328528)"
"19001_2019_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$49,391","Dollars","12/31/2019","POINT (-94.478164 41.328528)"
"19001_2020_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$401,259","Thousands of dollars","12/31/2020","POINT (-94.478164 41.328528)"
"19001_2020_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$53,544","Dollars","12/31/2020","POINT (-94.478164 41.328528)"
"19001_2021_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$488,333","Thousands of dollars","12/31/2021","POINT (-94.478164 41.328528)"
"19001_2021_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$64,783","Dollars","12/31/2021","POINT (-94.478164 41.328528)"
"19001_2022_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$507,103","Thousands of dollars","12/31/2022","POINT (-94.478164 41.328528)"
"19001_2022_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$67,668","Dollars","12/31/2022","POINT (-94.478164 41.328528)"
"19003_1997_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$97,843","Thousands of dollars","12/31/1997","POINT (-94.696906 41.021656)"
"19003_1997_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$21,728","Dollars","12/31/1997","POINT (-94.696906 41.021656)"
"19003_1998_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$101,084","Thousands of dollars","12/31/1998","POINT (-94.696906 41.021656)"
"19003_1998_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$22,498","Dollars","12/31/1998","POINT (-94.696906 41.021656)"
"19003_1999_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$104,042","Thousands of dollars","12/31/1999","POINT (-94.696906 41.021656)"
"19003_1999_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$23,131","Dollars","12/31/1999","POINT (-94.696906 41.021656)"
"19003_2000_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$119,680","Thousands of dollars","12/31/2000","POINT (-94.696906 41.021656)"
"19003_2000_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$26,738","Dollars","12/31/2000","POINT (-94.696906 41.021656)"
"19003_2001_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$113,592","Thousands of dollars","12/31/2001","POINT (-94.696906 41.021656)"
"19003_2001_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$25,805","Dollars","12/31/2001","POINT (-94.696906 41.021656)"
"19003_2002_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$118,509","Thousands of dollars","12/31/2002","POINT (-94.696906 41.021656)"
"19003_2002_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$27,119","Dollars","12/31/2002","POINT (-94.696906 41.021656)"
"19003_2003_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$112,878","Thousands of dollars","12/31/2003","POINT (-94.696906 41.021656)"
"19003_2003_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$25,860","Dollars","12/31/2003","POINT (-94.696906 41.021656)"
"19003_2004_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$134,258","Thousands of dollars","12/31/2004","POINT (-94.696906 41.021656)"
"19003_2004_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$31,172","Dollars","12/31/2004","POINT (-94.696906 41.021656)"
"19003_2005_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$123,386","Thousands of dollars","12/31/2005","POINT (-94.696906 41.021656)"
"19003_2005_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$29,197","Dollars","12/31/2005","POINT (-94.696906 41.021656)"
"19003_2006_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$116,672","Thousands of dollars","12/31/2006","POINT (-94.696906 41.021656)"
"19003_2006_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$27,621","Dollars","12/31/2006","POINT (-94.696906 41.021656)"
"19003_2007_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$127,307","Thousands of dollars","12/31/2007","POINT (-94.696906 41.021656)"
"19003_2007_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$30,347","Dollars","12/31/2007","POINT (-94.696906 41.021656)"
"19003_2008_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$153,209","Thousands of dollars","12/31/2008","POINT (-94.696906 41.021656)"
"19003_2008_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$36,909","Dollars","12/31/2008","POINT (-94.696906 41.021656)"
"19003_2009_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$148,873","Thousands of dollars","12/31/2009","POINT (-94.696906 41.021656)"
"19003_2009_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$36,786","Dollars","12/31/2009","POINT (-94.696906 41.021656)"
"19003_2010_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$149,857","Thousands of dollars","12/31/2010","POINT (-94.696906 41.021656)"
"19003_2010_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$37,222","Dollars","12/31/2010","POINT (-94.696906 41.021656)"
"19003_2011_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$188,544","Thousands of dollars","12/31/2011","POINT (-94.696906 41.021656)"
"19003_2011_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$47,030","Dollars","12/31/2011","POINT (-94.696906 41.021656)"
"19003_2012_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$186,988","Thousands of dollars","12/31/2012","POINT (-94.696906 41.021656)"
"19003_2012_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$47,507","Dollars","12/31/2012","POINT (-94.696906 41.021656)"
"19003_2013_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$217,383","Thousands of dollars","12/31/2013","POINT (-94.696906 41.021656)"
"19003_2013_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$55,342","Dollars","12/31/2013","POINT (-94.696906 41.021656)"
"19003_2014_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$223,511","Thousands of dollars","12/31/2014","POINT (-94.696906 41.021656)"
"19003_2014_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$56,975","Dollars","12/31/2014","POINT (-94.696906 41.021656)"
"19003_2015_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$243,037","Thousands of dollars","12/31/2015","POINT (-94.696906 41.021656)"
"19003_2015_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$63,773","Dollars","12/31/2015","POINT (-94.696906 41.021656)"
"19003_2016_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$220,764","Thousands of dollars","12/31/2016","POINT (-94.696906 41.021656)"
"19003_2016_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$58,729","Dollars","12/31/2016","POINT (-94.696906 41.021656)"
"19003_2017_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$210,848","Thousands of dollars","12/31/2017","POINT (-94.696906 41.021656)"
"19003_2017_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$56,452","Dollars","12/31/2017","POINT (-94.696906 41.021656)"
"19003_2018_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$210,662","Thousands of dollars","12/31/2018","POINT (-94.696906 41.021656)"
"19003_2018_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$56,660","Dollars","12/31/2018","POINT (-94.696906 41.021656)"
"19003_2019_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$202,471","Thousands of dollars","12/31/2019","POINT (-94.696906 41.021656)"
"19003_2019_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$54,678","Dollars","12/31/2019","POINT (-94.696906 41.021656)"
"19003_2020_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$194,366","Thousands of dollars","12/31/2020","POINT (-94.696906 41.021656)"
"19003_2020_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$52,390","Dollars","12/31/2020","POINT (-94.696906 41.021656)"
"19003_2021_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$234,343","Thousands of dollars","12/31/2021","POINT (-94.696906 41.021656)"
"19003_2021_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$64,345","Dollars","12/31/2021","POINT (-94.696906 41.021656)"
"19003_2022_CAINC1-1_annual","19003","Adams","CAINC1-1","Personal income","$244,311","Thousands of dollars","12/31/2022","POINT (-94.696906 41.021656)"
"19003_2022_CAINC1-3_annual","19003","Adams","CAINC1-3","Per capita personal income","$67,657","Dollars","12/31/2022","POINT (-94.696906 41.021656)"
"19005_1997_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$289,130","Thousands of dollars","12/31/1997","POINT (-91.382751 43.274964)"
"19005_1997_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$19,958","Dollars","12/31/1997","POINT (-91.382751 43.274964)"
"19005_1998_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$306,961","Thousands of dollars","12/31/1998","POINT (-91.382751 43.274964)"
"19005_1998_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$21,009","Dollars","12/31/1998","POINT (-91.382751 43.274964)"
"19005_1999_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$309,704","Thousands of dollars","12/31/1999","POINT (-91.382751 43.274964)"
"19005_1999_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$21,139","Dollars","12/31/1999","POINT (-91.382751 43.274964)"
"19005_2000_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$330,190","Thousands of dollars","12/31/2000","POINT (-91.382751 43.274964)"
"19005_2000_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$22,502","Dollars","12/31/2000","POINT (-91.382751 43.274964)"
"19005_2001_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$338,996","Thousands of dollars","12/31/2001","POINT (-91.382751 43.274964)"
"19005_2001_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$23,651","Dollars","12/31/2001","POINT (-91.382751 43.274964)"
"19005_2002_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$348,114","Thousands of dollars","12/31/2002","POINT (-91.382751 43.274964)"
"19005_2002_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$24,362","Dollars","12/31/2002","POINT (-91.382751 43.274964)"
"19005_2003_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$355,247","Thousands of dollars","12/31/2003","POINT (-91.382751 43.274964)"
"19005_2003_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$24,765","Dollars","12/31/2003","POINT (-91.382751 43.274964)"
"19005_2004_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$383,189","Thousands of dollars","12/31/2004","POINT (-91.382751 43.274964)"
"19005_2004_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$26,752","Dollars","12/31/2004","POINT (-91.382751 43.274964)"
"19005_2005_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$398,089","Thousands of dollars","12/31/2005","POINT (-91.382751 43.274964)"
"19005_2005_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$27,701","Dollars","12/31/2005","POINT (-91.382751 43.274964)"
"19005_2006_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$413,647","Thousands of dollars","12/31/2006","POINT (-91.382751 43.274964)"
"19005_2006_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$28,769","Dollars","12/31/2006","POINT (-91.382751 43.274964)"
"19005_2007_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$437,232","Thousands of dollars","12/31/2007","POINT (-91.382751 43.274964)"
"19005_2007_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$30,501","Dollars","12/31/2007","POINT (-91.382751 43.274964)"
"19005_2008_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$460,818","Thousands of dollars","12/31/2008","POINT (-91.382751 43.274964)"
"19005_2008_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$32,169","Dollars","12/31/2008","POINT (-91.382751 43.274964)"
"19005_2009_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$450,250","Thousands of dollars","12/31/2009","POINT (-91.382751 43.274964)"
"19005_2009_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$31,568","Dollars","12/31/2009","POINT (-91.382751 43.274964)"
"19005_2010_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$496,506","Thousands of dollars","12/31/2010","POINT (-91.382751 43.274964)"
"19005_2010_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$34,508","Dollars","12/31/2010","POINT (-91.382751 43.274964)"
"19005_2011_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$539,268","Thousands of dollars","12/31/2011","POINT (-91.382751 43.274964)"
"19005_2011_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$37,769","Dollars","12/31/2011","POINT (-91.382751 43.274964)"
"19005_2012_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$545,641","Thousands of dollars","12/31/2012","POINT (-91.382751 43.274964)"
"19005_2012_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$38,296","Dollars","12/31/2012","POINT (-91.382751 43.274964)"
"19005_2013_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$572,507","Thousands of dollars","12/31/2013","POINT (-91.382751 43.274964)"
"19005_2013_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$40,275","Dollars","12/31/2013","POINT (-91.382751 43.274964)"
"19005_2014_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$589,452","Thousands of dollars","12/31/2014","POINT (-91.382751 43.274964)"
"19005_2014_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$41,362","Dollars","12/31/2014","POINT (-91.382751 43.274964)"
"19005_2015_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$583,744","Thousands of dollars","12/31/2015","POINT (-91.382751 43.274964)"
"19005_2015_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$41,386","Dollars","12/31/2015","POINT (-91.382751 43.274964)"
"19005_2016_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$590,379","Thousands of dollars","12/31/2016","POINT (-91.382751 43.274964)"
"19005_2016_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$41,832","Dollars","12/31/2016","POINT (-91.382751 43.274964)"
"19005_2017_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$611,775","Thousands of dollars","12/31/2017","POINT (-91.382751 43.274964)"
"19005_2017_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$43,324","Dollars","12/31/2017","POINT (-91.382751 43.274964)"
"19005_2018_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$638,226","Thousands of dollars","12/31/2018","POINT (-91.382751 43.274964)"
"19005_2018_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$44,993","Dollars","12/31/2018","POINT (-91.382751 43.274964)"
"19005_2019_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$650,953","Thousands of dollars","12/31/2019","POINT (-91.382751 43.274964)"
"19005_2019_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$46,292","Dollars","12/31/2019","POINT (-91.382751 43.274964)"
"19005_2020_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$684,221","Thousands of dollars","12/31/2020","POINT (-91.382751 43.274964)"
"19005_2020_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$48,637","Dollars","12/31/2020","POINT (-91.382751 43.274964)"
"19005_2021_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$747,795","Thousands of dollars","12/31/2021","POINT (-91.382751 43.274964)"
"19005_2021_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$53,536","Dollars","12/31/2021","POINT (-91.382751 43.274964)"
"19005_2022_CAINC1-1_annual","19005","Allamakee","CAINC1-1","Personal income","$768,013","Thousands of dollars","12/31/2022","POINT (-91.382751 43.274964)"
"19005_2022_CAINC1-3_annual","19005","Allamakee","CAINC1-3","Per capita personal income","$55,015","Dollars","12/31/2022","POINT (-91.382751 43.274964)"
"19007_1997_CAINC1-1_annual","19007","Appanoose","CAINC1-1","Personal income","$251,742","Thousands of dollars","12/31/1997","POINT (-92.873061 40.744296)"
"19007_1997_CAINC1-3_annual","19007","Appanoose","CAINC1-3","Per capita personal income","$18,406","Dollars","12/31/1997","POINT (-92.873061 40.744296)"
"19007_1998_CAINC1-1_annual","19007","Appanoose","CAINC1-1","Personal income","$265,081","Thousands of dollars","12/31/1998","POINT (-92.873061 40.744296)"
"19007_1998_CAINC1-3_annual","19007","Appanoose","CAINC1-3","Per capita personal income","$19,263","Dollars","12/31/1998","POINT (-92.873061 40.744296)"
"19007_1999_CAINC1-1_annual","19007","Appanoose","CAINC1-1","Personal income","$270,610","Thousands of dollars","12/31/1999","POINT (-92.873061 40.744296)"
"19007_1999_CAINC1-3_annual","19007","Appanoose","CAINC1-3","Per capita personal income","$19,740","Dollars","12/31/1999","POINT (-92.873061 40.744296)"
"19007_2000_CAINC1-1_annual","19007","Appanoose","CAINC1-1","Personal income","$287,090","Thousands of dollars","12/31/2000","POINT (-92.873061 40.744296)"
"19007_2000_CAINC1-3_annual","19007","Appanoose","CAINC1-3","Per capita personal income","$20,962","Dollars","12/31/2000","POINT (-92.873061 40.744296)"
"19007_2001_CAINC1-1_annual","19007","Appanoose","CAINC1-1","Personal income","$287,728","Thousands of dollars","12/31/2001","POINT (-92.873061 40.744296)"
"19007_2001_CAINC1-3_annual","19007","Appanoose","CAINC1-3","Per capita personal income","$21,191","Dollars","12/31/2001","POINT (-92.873061 40.744296)"
"19007_2002_CAINC1-1_annual","19007","Appanoose","CAINC1-1","Personal income","$297,954","Thousands of dollars","12/31/2002","POINT (-92.873061 40.744296)"
"19007_2002_CAINC1-3_annual","19007","Appanoose","CAINC1-3","Per capita personal income","$22,202","Dollars","12/31/2002","POINT (-92.873061 40.744296)"
"19007_2003_CAINC1-1_annual","19007","Appanoose","CAINC1-1","Personal income","$305,545","Thousands of dollars","12/31/2003","POINT (-92.873061 40.744296)"
"19007_2003_CAINC1-3_annual","19007","Appanoose","CAINC1-3","Per capita personal income","$22,596","Dollars","12/31/2003","POINT (-92.873061 40.744296)"
"19007_2004_CAINC1-1_annual","19007","Appanoose","CAINC1-1","Personal income","$328,452","Thousands of dollars","12/31/2004","POINT (-92.873061 40.744296)"
"19007_2004_CAINC1-3_annual","19007","Appanoose","CAINC1-3","Per capita personal income","$24,398","Dollars","12/31/2004","POINT (-92.873061 40.744296)"
"19007_2005_CAINC1-1_annual","19007","Appanoose","CAINC1-1","Personal income","$326,593","Thousands of dollars","12/31/2005","POINT (-92.873061 40.744296)"
"19007_2005_CAINC1-3_annual","19007","Appanoose","CAINC1-3","Per capita personal income","$24,277","Dollars","12/31/2005","POINT (-92.873061 40.744296)"
"19007_2006_CAINC1-1_annual","19007","Appanoose","CAINC1-1","Personal income","$342,301","Thousands of dollars","12/31/2006","POINT (-92.873061 40.744296)"
"19007_2006_CAINC1-3_annual","19007","Appanoose","CAINC1-3","Per capita personal income","$25,700","Dollars","12/31/2006","POINT (-92.873061 40.744296)"
"19007_2007_CAINC1-1_annual","19007","Appanoose","CAINC1-1","Personal income","$346,942","Thousands of dollars","12/31/2007","POINT (-92.873061 40.744296)"
"19007_2007_CAINC1-3_annual","19007","Appanoose","CAINC1-3","Per capita personal income","$26,474","Dollars","12/31/2007","POINT (-92.873061 40.744296)"
"19007_2008_CAINC1-1_annual","19007","Appanoose","CAINC1-1","Personal income","$376,091","Thousands of dollars","12/31/2008","POINT (-92.873061 40.744296)"
"19007_2008_CAINC1-3_annual","19007","Appanoose","CAINC1-3","Per capita personal income","$29,042","Dollars","12/31/2008","POINT (-92.873061 40.744296)"
"19007_2009_CAINC1-1_annual","19007","Appanoose","CAINC1-1","Personal income","$382,714","Thousands of dollars","12/31/2009","POINT (-92.873061 40.744296)"
"19007_2009_CAINC1-3_annual","19007","Appanoose","CAINC1-3","Per capita personal income","$29,677","Dollars","12/31/2009","POINT (-92.873061 40.744296)"
